NAME,Category,Sub Category,Main Ingredient_1,Ingredient_2
မုန်ညှင်းရွက်ချဉ်ရည်ဟင်း,ဟင်းချို/ဟင်းရည်,ရိုးရာ ဆမ်းစား အရည်သောက်ဟင်း,မုန်ညင်း,
ဆူးပုတ်ငရုတ်သီးထောင်း,အရံဟင်း,အသီးအရွက်,ဆူးပုတ်ရွက်,
ကြက်သဲမြစ်အစပ်ကြော်,အသားဟင်း,Stired Fried,ကြက်သား,
ကြက်ပဲငါးပိအစပ်ချက်,အသားဟင်း,ဆီပြန်ဟင်း / နှပ်ချက်,ကြက်သား,
ကြက်ဂွေးတောက်အချိုကြော်,အသားဟင်း,Stired Fried,ကြက်သား,
ကြက်ပဲဟင်း,အသားဟင်း,ဆီပြန်ဟင်း / နှပ်ချက်,ကြက်သား,
ကြက်မှို အချိုချက် ,အသားဟင်း,ဆီပြန်ဟင်း / နှပ်ချက်,ကြက်သား,
ကြက်ကချင်ချက်,အသားဟင်း,အသားနှင့် အသီးအရွက်ရောဟင်း,ကြက်သား,
ကြက်သားမရမ်းပြားမွန်ချက်,အသားဟင်း,အသားနှင့် အသီးအရွက်ရောဟင်း,ကြက်သား,
ကြက်သားလုံးချိုချဉ်ကြော်,အသားဟင်း,Stired Fried,ကြက်သား,
ကြက်ပဲပြားခရုဆီအစပ်ကြော်,အသားဟင်း,Stired Fried,ကြက်သား,
ကြက်လက်ဖက်မွှေး,အသားဟင်း,ဆီပြန်ဟင်း / နှပ်ချက်,ကြက်သား,
ကြက်ချိုချဉ်ကြော်,အသားဟင်း,Stired Fried,ကြက်သား,
ပူပူစပ်စပ် မျှစ် ကြက်သားချက်,အသားဟင်း,ဆီပြန်ဟင်း / နှပ်ချက်,ကြက်သား,
ကြက်ချဉ်စပ်,အသားဟင်း,Stired Fried,ကြက်သား,
ကြက်သားရွှေဖရုံသီး,အသားဟင်း,Stired Fried,ကြက်သား,
ကြက်သားပဲပြားငုံးဥကြော်ချက်,အသားဟင်း,Stired Fried,ကြက်သား,
ကြက်သားပဲကြာဆန်ချဉ်စပ်ဟင်းရည်,ဟင်းချို/ဟင်းရည်,ရိုးရာ ဆမ်းစား အရည်သောက်ဟင်း,ကြက်သား,
ကြက်သားကာလသားချက်,အသားဟင်း,ဆီပြန်ဟင်း / နှပ်ချက်,ကြက်သား,
ကြက်ကုန်းဘောင်ကြီးကြော်,အသားဟင်း,Stired Fried,ကြက်သား,
ကုလားပဲနှပ်,အရံဟင်း,အသီးအရွက်,ကုလားပဲ,
မုန်လာဥချဥ်ရည်ဟင်း,ဟင်းချို/ဟင်းရည်,ရိုးရာ ဆမ်းစား အရည်သောက်ဟင်း,မုန်လာဥ,
ဝဥသုပ်,အသုပ်,အသီးအရွက်သုပ်,ဝဥ,
တီလားဘီးယားငါးပေါင်း,ငါးနှင့် ပင်လယ်စာ,ငါး‌ပေါင်း,ငါး,
ကျောက်ပွင့်သုပ်(မှိုဖြူ),အသုပ်,အသီးအရွက်သုပ်,ကျောက်ပွင့်,
ငါးကြင်း.ဒန့်ဒလွန်သီးချက်နည်း,ငါးနှင့် ပင်လယ်စာ,ငါးဟင်း,ငါး,
တဇောင်းခါးကြော်/တစောင်းဖူးကြော်,အရံဟင်း,အသီးအရွက်,တဇောင်းခါး/တစောင်းဖူး,
လယ်ငါးဇင်ရိုင်းအိုးကပ်,ငါးနှင့် ပင်လယ်စာ,ငါးဟင်း,ငါး,
ငါးကျည်းကြပ်တိုက်ခရမ်းချဉ်သီးချက်,ငါးနှင့် ပင်လယ်စာ,ငါးဟင်း,ငါး,
ရခိုင်ဟင်းလှော်(or)ဟင်းပေါင်း,အရံဟင်း,အငန်ချက်ဟင်းများ,အသီးအရွက်များ,
ငပိကြော်နည်း,အရံဟင်း,အငန်ချက်ဟင်းများ,ပုဇွန်ခြောက်,
ဆိတ်ကလီစာ/အူကြမ်းဟင်း,အသားဟင်း,ဆီပြန်ဟင်း / နှပ်ချက်,ဆိတ်သား,
ထိုင်းစတိုင် ဝက်နံရိုး မီးတောင်ချဉ်စပ် ဟင်းချို,ဟင်းချို/ဟင်းရည်,အခြားဟင်းချိုများ,၀က်သား,
ဘဲဥသံပုရာ,အသားဟင်း,ဆီပြန်ဟင်း / နှပ်ချက်,ကြက်ဥ/ဘဲဥ,
ထိုင်း စတိုင်စ် ပင်လယ်စာစုံ ပဲကြာဇံသုပ်,အသုပ်,အသီးအရွက်သုပ်,ပဲကြာဇံ,
ဝက်အူချိုကင်မွှေးမွှေးလေး,အသားဟင်း,အကင်,၀က်သား,
၀က်ခြေထောက်/၀က်လက်စွပ်ပြုတ်,ဟင်းချို/ဟင်းရည်,အခြားဟင်းချိုများ,၀က်သား,
ယိုးဒယားငါးချိုချဉ်ကြော်,ငါးနှင့် ပင်လယ်စာ,ငါးနှင့် ပင်လယ်စာအကြော်များ,ငါး,
ဂဏန်းမဆလာ,ငါးနှင့် ပင်လယ်စာ,ပင်လယ်စာဟင်းများ,ဂဏန်း,
ပုဇွန်ငါးဆုပ်လုံး,ငါးနှင့် ပင်လယ်စာ,ပင်လယ်စာဟင်းများ,ပုဇွန်,
သခွတ်ပွင့်ခြောက်သုပ်,အသုပ်,အသီးအရွက်သုပ်,သခွတ်ပွင့်ခြောက်,
ထိမိဂွိ အာပြဲလန် ငါးငပိချက်,အရံဟင်း,အငန်ချက်ဟင်းများ,ပုဇွန်ခြောက်,
ရှူးရှဲ ငါးကြင်း ငပိချက်,အရံဟင်း,အငန်ချက်ဟင်းများ,ငါး,
ဘဲဥဆီပြန်ဟင်း,အသားဟင်း,ဆီပြန်ဟင်း / နှပ်ချက်,ကြက်ဥ/ဘဲဥ,
